학원명,도로명주소,Latitude,Longitude,정원합계,일시수용능력인원합계
edu-pro보습학원,서울특별시 노원구 동일로192길 77,37.6280811,127.0768426,214,85
고종대수학학원,서울특별시 노원구 공릉로46길 6,37.6268785,127.079495,140,74
중계세일입시학원,서울특별시 노원구 중계로 206,37.6508711,127.077531,851,863
토피아중등부학원,서울특별시 노원구 한글비석로 231,37.6482011,127.0762923,1060,917
강북메가스터디학원,서울특별시 노원구 노해로 459,37.6542638,127.0590018,6161,1400
아이원미술학원,서울특별시 노원구 섬밭로 139,37.6291633,127.0668178,80,57
조재필수학학원,서울특별시 노원구 한글비석로 253,37.6504239,127.0763502,60,185
엘림무용학원,서울특별시 노원구 동일로232길 27,37.6730038,127.0574204,56,42
조승건수학전문학원상계2캠퍼스학원,서울특별시 노원구 덕릉로 459-37,37.6467584,127.0595441,64,96
DES영어학원,서울특별시 노원구 화랑로51길 38,37.6249914,127.0890791,128,152
다솔학원,서울특별시 노원구 공릉로 154-8,37.6236801,127.0799425,204,107
Lisa영어학원,서울특별시 노원구 한글비석로 276,37.6518713,127.0777853,22,70
한빛간호학원,서울특별시 노원구 동일로 1393,37.6529411,127.0605151,133,165
탑클래스학원,서울특별시 노원구 덕릉로60길 182,37.6327047,127.0436854,50,68
언희당국어교육별관학원,서울특별시 노원구 한글비석로 272,37.6517354,127.0775931,42,77
피플미술학원,서울특별시 노원구 한글비석로 242,37.6493084,127.0769639,160,109
로뎀음악학원,서울특별시 노원구 수락산로 234,37.6715296,127.0530298,24,240
K연세음악학원,서울특별시 노원구 노원로34길 58,37.6614315,127.0659371,29,44
제1조재필수학보습학원,서울특별시 노원구 한글비석로 253,37.6504239,127.0763502,48,98
클링투영어보습학원,서울특별시 노원구 한글비석로 253,37.6504239,127.0763502,125,136
에꼴무용학원,서울특별시 노원구 석계로9길 17,37.6171761,127.063258,80,41
작은숲피아노교습소,서울특별시 노원구 동일로245가길 41,37.6799626,127.0535049,20,4
라라피아노교습소,서울특별시 노원구 노원로 421,37.654261,127.066997,15,5
자이온뮤직음악교습소,서울특별시 노원구 덕릉로 459-37,37.6467584,127.0595441,40,9
한우리독서토론논술보람논술교습소,서울특별시 노원구 한글비석로 474,37.6648566,127.0654725,12,6
송기수국어교습소,서울특별시 노원구 한글비석로 276,37.6518713,127.0777853,18,3
학림제3학원,서울특별시 노원구 한글비석로 242,37.6493084,127.0769639,2000,265
개념의힘수학전문학원,서울특별시 노원구 덕릉로 680,37.6583669,127.0754616,16,70
이보영의토킹클럽공릉학원,서울특별시 노원구 노원로1길 67,37.6208105,127.0836023,80,84
김연수국어논술교습소,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,16,4
팜스에듀학원,서울특별시 노원구 중계로 162-11,37.6497854,127.0813006,140,99
조이음악교습소,서울특별시 노원구 공릉로59길 15,37.6331962,127.0710597,16,4
중계1관정상어학원,서울특별시 노원구 노원로 248,37.6398509,127.0739204,166,279
금빛피아노교습소,서울특별시 노원구 상계로26길 20,37.6573541,127.0712422,9,3
21세기연세단과전문학원,서울특별시 노원구 동일로 1596,37.6708653,127.0566743,280,199
도담도담학원,서울특별시 노원구 노원로 560,37.6615763,127.0567228,660,155
칸타레음악교습소,서울특별시 노원구 동일로250길 18,37.6816043,127.0565915,16,4
마이엠수학학원,서울특별시 노원구 섬밭로 263,37.6387852,127.0624881,100,85
홍피아노교습소,서울특별시 노원구 한글비석로 571,37.6641843,127.0546598,8,4
위드(With)음악교습소,서울특별시 노원구 마들로 31,37.6178025,127.0685682,16,4
에듀타임학원,서울특별시 노원구 노원로22길 77,37.6485878,127.0742954,457,89
아름다운음악교습소,서울특별시 노원구 덕릉로 459-37,37.6467584,127.0595441,25,8
투비영어교습소,서울특별시 노원구 동일로 1545,37.6663796,127.0569683,30,5
지니영어학원,서울특별시 노원구 한글비석로 227,37.6479003,127.0762756,48,85
핵심학원,서울특별시 노원구 덕릉로 680,37.6583669,127.0754616,30,88
챌린지수학교습소,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,10,5
영피아노교습소,서울특별시 노원구 노원로 522,37.6612049,127.0610037,12,4
프로매쓰(promath)수학학원,서울특별시 노원구 중계로 197,37.6497527,127.0784681,35,93
와이즈만영재학원,서울특별시 노원구 중계로 219,37.6504923,127.0756701,64,140
중계미래탐구중등학원,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,1660,662
퀸실용음악학원,서울특별시 노원구 동일로192길 52,37.6266329,127.0758728,46,96
피아니스트음악학원,서울특별시 노원구 덕릉로77길 8,37.655024,127.0735727,60,59
옛동무그림이야기미술학원,서울특별시 노원구 동일로230길 39,37.6729841,127.0592029,23,58
최진혁수학학원,서울특별시 노원구 한글비석로 253,37.6504239,127.0763502,336,72
난파음악학원,서울특별시 노원구 화랑로51길 38,37.6249914,127.0890791,1,48
두드림에듀학원,서울특별시 노원구 중계로 220,37.6508775,127.0756868,86,99
생각하는황소영어학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,159,89
더와이즈(The whys)학원,서울특별시 노원구 한글비석로 265,37.6514461,127.0765554,390,77
강북청솔학원,서울특별시 노원구 한글비석로 242,37.6493084,127.0769639,6565,819
손호심국어학원,서울특별시 노원구 중계로 217,37.6504871,127.0759853,162,107
이앤아이음악교습소,서울특별시 노원구 공릉로34길 62,37.6234994,127.0831875,40,5
하늘높이영수학원,서울특별시 노원구 덕릉로 740,37.6636282,127.0764046,32,87
예뜰음악교습소,서울특별시 노원구 동일로191가길 59,37.627544,127.0699862,44,4
수학에미친사람들중계관학원,서울특별시 노원구 중계로 219,37.6504923,127.0756701,375,135
해냄학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,60,77
English무무중계학원,서울특별시 노원구 한글비석로 363,37.6579097,127.0744272,191,107
장현학수학교습소,서울특별시 노원구 한글비석로 571,37.6641843,127.0546598,42,7
하이퍼과학교습소,서울특별시 노원구 중계로18길 17,37.6515236,127.0778413,5,5
CRI창의학원,서울특별시 노원구 동일로203가길 29,37.6399359,127.0642574,56,73
나무미술교습소,서울특별시 노원구 중계로12가길 2,37.6473163,127.0821096,32,9
이보영의토킹클럽노원마들보습학원,서울특별시 노원구 동일로 1550,37.6669174,127.0575806,140,82
상계벽산해법영어교습소,서울특별시 노원구 한글비석로 396,37.6614765,127.0728242,14,7
청백해법수학교습소,서울특별시 노원구 월계로45가길 89,37.6317699,127.0501857,14,7
울림피아노교습소,서울특별시 노원구 한글비석로 396,37.6614765,127.0728242,16,4
이해와지혜학원,서울특별시 노원구 한글비석로 271,37.6519943,127.0770251,150,74
화랑점해법수학교습소,서울특별시 노원구 화랑로51길 78,37.6257733,127.0873569,10,5
아름무용나라무용학원,서울특별시 노원구 덕릉로 669,37.6573787,127.074582,117,51
올킬수학?과학학원,서울특별시 노원구 노원로22길 70,37.6468287,127.0728289,50,72
아인피아노교습소,서울특별시 노원구 동일로241길 53,37.6773841,127.0531484,15,3
크레용미술학원,서울특별시 노원구 덕릉로73길 18,37.6521826,127.0724569,50,69
반디독서실,서울특별시 노원구 덕릉로73길 18,37.6521826,127.0724569,110,156
수아인수학학원,서울특별시 노원구 한글비석로8길 16,37.6472756,127.0779151,90,85
최강영어전문학원,서울특별시 노원구 덕릉로112길 42,37.6663596,127.0798895,210,84
비앤비(BnB)영어교습소,서울특별시 노원구 한글비석로 571,37.6641843,127.0546598,44,4
한솔탑어학원,서울특별시 노원구 석계로 49,37.6185529,127.0625822,40,151
로망스음악교습소,서울특별시 노원구 덕릉로73길 28,37.6534321,127.072311,18,6
은빛해법영어교습소,서울특별시 노원구 동일로245가길 41,37.6799626,127.0535049,54,9
박기태언어학원,서울특별시 노원구 한글비석로 276,37.6518713,127.0777853,391,70
이디엠(EDM)수학전문학원,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,189,89
라라실용음악학원,서울특별시 노원구 월계로45길 37,37.6269962,127.0503638,7,62
SOSU과학전문보습학원,서울특별시 노원구 한글비석로 271,37.6519943,127.0770251,30,84
황현영어학원,서울특별시 노원구 한글비석로 474,37.6648566,127.0654725,136,89
능운한문교습소,서울특별시 노원구 석계로 49,37.6185529,127.0625822,18,9
최상영수학원,서울특별시 노원구 마들로 31,37.6178025,127.0685682,144,78
쎈중계학원,서울특별시 노원구 한글비석로15길 27,37.6570128,127.0741706,32,95
와이비엠(YBM)공릉용원캠퍼스학원,서울특별시 노원구 동일로197길 23,37.6283672,127.070056,98,86
배움의숲학원,서울특별시 노원구 중계로 217,37.6504871,127.0759853,2000,164
매일영어교습소,서울특별시 노원구 한글비석로31길 34,37.6605806,127.0690116,27,9
코원영어전문소수정예학원,서울특별시 노원구 동일로 1545,37.6663796,127.0569683,110,81
더베스트영어전문학원,서울특별시 노원구 한글비석로52길 18,37.6652985,127.0665267,20,84
코코스(KOKOS)영어교습소,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,32,4
최강수학영어과학학원,서울특별시 노원구 노원로1길 9,37.6221921,127.0863931,80,98
RedAcademy학원,서울특별시 노원구 노원로34길 88,37.6628649,127.0661333,135,85
이보영의토킹클럽월계번동학원,서울특별시 노원구 월계로45길 21,37.6265468,127.0497923,196,90
삼성컴퓨터학원,서울특별시 노원구 공릉로 223,37.6291131,127.076729,90,49
e-해법수학교습소,서울특별시 노원구 섬밭로 139,37.6291633,127.0668178,16,8
드릴스터디학원,서울특별시 노원구 월계로45길 21,37.6265468,127.0497923,50,95
SM영어교습소,서울특별시 노원구 동일로 1493,37.6616672,127.0578993,30,6
MAP학원,서울특별시 노원구 한글비석로15길 27,37.6570128,127.0741706,86,103
루리앤라라아트스튜디오미술교습소,서울특별시 노원구 섬밭로 125,37.6272664,127.0686136,42,7
바른수학학원,서울특별시 노원구 중계로 220,37.6508775,127.0756868,114,93
상계이룸수학교습소,서울특별시 노원구 동일로215길 81,37.6502137,127.0568875,24,7
VERITAS수학학원,서울특별시 노원구 노원로 257,37.6402604,127.072739,88,84
로고스(LOGOS)수학교습소,서울특별시 노원구 중계로 197,37.6497527,127.0784681,12,4
엔파인미술학원,서울특별시 노원구 노원로 257,37.6402604,127.072739,315,65
지니위니미술학원,서울특별시 노원구 노해로 447,37.6539869,127.057755,20,57
숙명F.G피아노교습소,서울특별시 노원구 한글비석로 377,37.6588308,127.0734449,28,5
정은경학원,서울특별시 노원구 한글비석로 254,37.6504079,127.0770904,97,87
위드에임하이학원,서울특별시 노원구 광운로2길 6,37.618081,127.0574256,138,85
중계청담에이프릴어학원,서울특별시 노원구 한글비석로 265,37.6514461,127.0765554,56,195
씨알학당어학원,서울특별시 노원구 공릉로 147,37.6231286,127.0790475,60,211
하계스터디뱅크독서실,서울특별시 노원구 노원로 253,37.6399496,127.0729464,284,142
예원보습학원,서울특별시 노원구 한글비석로48길 12,37.6648037,127.0673043,72,86
임광이화바이올린교습소,서울특별시 노원구 노원로 547,37.6607248,127.0569722,3,9
준CNC미술학원,서울특별시 노원구 노해로 517,37.655692,127.0654051,410,85
뉴욕어학원,서울특별시 노원구 중계로 220,37.6508775,127.0756868,455,177
벽산e해법수학교습소,서울특별시 노원구 한글비석로 396,37.6614765,127.0728242,12,4
예원플러스학원,서울특별시 노원구 중계로 170,37.6501065,127.0812326,80,154
케이투영어전문학원,서울특별시 노원구 한글비석로 254,37.6504079,127.0770904,40,82
원스실용음악학원,서울특별시 노원구 한글비석로 281,37.6528843,127.0777274,352,42
명인학원,서울특별시 노원구 한글비석로 235,37.6487645,127.0763385,4709,231
씨알학당보습학원,서울특별시 노원구 공릉로 147,37.6231286,127.0790475,126,140
리마인드수학교습소,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,60,4
미네르바사회교습소,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,39,3
베캠에듀학원,서울특별시 노원구 동일로217가길 27,37.6532269,127.0588327,180,195
과수원과학수학전문학원,서울특별시 노원구 중계로 201,37.6504487,127.0777705,916,111
유레카과학교습소,서울특별시 노원구 한글비석로 227,37.6479003,127.0762756,6,3
석선생영어전문SSP학원,서울특별시 노원구 중계로18길 13,37.6513077,127.0778154,215,140
파랑새음악학원,서울특별시 노원구 공릉로34길 10-2,37.6223308,127.0797916,380,32
비엔나음악교습소,서울특별시 노원구 중계로 8길 29,37.6458859,127.0824097,65,5
예원음악교습소,서울특별시 노원구 석계로 49,37.6185529,127.0625822,15,6
더좋은영어학원,서울특별시 노원구 중계로 198,37.6519314,127.0795434,24,73
이색화실미술교습소,서울특별시 노원구 중계로 230,37.652831,127.0759265,8,7
조이뮤직클래스음악교습소,서울특별시 노원구 동일로218길 35,37.6540888,127.0626882,30,6
지성피아노교습소,서울특별시 노원구 덕릉로126길 40,37.6715331,127.0829943,15,5
이화앤잉글리쉬영어교습소,서울특별시 노원구 노원로 421,37.654261,127.066997,20,5
주공5단지해법수학교습소,서울특별시 노원구 중계로 230,37.652831,127.0759265,18,6
드림키즈어학원,서울특별시 노원구 공릉로39길 22,37.6238321,127.0781393,168,184
스터디판다학원,서울특별시 노원구 한글비석로 242,37.6493084,127.0769639,42,93
바하기타교습소,서울특별시 노원구 한글비석로 466,37.6645684,127.0664163,27,9
소리마을피아노교습소,서울특별시 노원구 동일로 1116,37.6298796,127.0719275,3,5
예음악교습소,서울특별시 노원구 중계로14길 10,37.648757,127.0820467,6,2
이화소리음악교습소,서울특별시 노원구 노원로 421,37.654261,127.066997,12,5
홍음악교습소,서울특별시 노원구 마들로3길 37,37.6294153,127.062514,12,4
예그린피아노교습소,서울특별시 노원구 동일로177길 33,37.6205207,127.0724891,9,4
문성희음악교습소,서울특별시 노원구 동일로182길 37-25,37.6237774,127.0759131,36,5
캔버스위의아이들미술교습소,서울특별시 노원구 공릉로34길 45,37.6239418,127.0811978,14,7
높은음자리음악교습소,서울특별시 노원구 동일로245길 162,37.6815167,127.0538446,50,5
은빛피아노교습소,서울특별시 노원구 동일로245가길 41,37.6799626,127.0535049,16,4
월계연세음악교습소,서울특별시 노원구 월계로55길 4,37.6325655,127.0609172,20,0
가온피아노교습소,서울특별시 노원구 한글비석로 396,37.6614765,127.0728242,16,5
예향음악교습소,서울특별시 노원구 노원로 58,37.6266495,127.0873143,25,5
가브리엘피아노교습소,서울특별시 노원구 한글비석로 474,37.6648566,127.0654725,20,9
아이다빈치미술교습소,서울특별시 노원구 동일로245길 162,37.6815167,127.0538446,48,9
아이뮤즈음악교습소,서울특별시 노원구 상계로 193-14,37.6630427,127.0745157,12,9
하나피아노교습소,서울특별시 노원구 한글비석로15길 6,37.6580062,127.0742115,10,5
연세클라브생음악교습소,서울특별시 노원구 덕릉로 595,37.6514399,127.071939,60,6
탄탄음악교습소,서울특별시 노원구 상계로24길 26,37.6573308,127.0703899,30,9
루체미술교습소,서울특별시 노원구 공릉로34길 34,37.6229669,127.0810212,14,9
혜지음악교습소,서울특별시 노원구 한글비석로 571,37.6641843,127.0546598,30,9
이화음악교습소,서울특별시 노원구 동일로216길 92,37.6516527,127.0674223,1,0
이지음악교습소,서울특별시 노원구 동일로 1363,37.6504175,127.0612655,110,7
소망음악교습소,서울특별시 노원구 한글비석로 530,37.6661657,127.0593193,30,6
선화꽃들음악교습소,서울특별시 노원구 덕릉로 459-37,37.6467584,127.0595441,25,5
예일피아노교습소,서울특별시 노원구 노원로 434,37.6549617,127.0683084,12,0
예원피아노교습소,서울특별시 노원구 동일로215길 81,37.6502137,127.0568875,30,5
보스톤피아노교습소,서울특별시 노원구 한글비석로 253,37.6504239,127.0763502,4,4
뉴예인음악교습소,서울특별시 노원구 초안산로2길 98,37.6329074,127.0576826,15,8
참벗미술교습소,서울특별시 노원구 석계로 49,37.6185529,127.0625822,32,8
나무기린미술교습소,서울특별시 노원구 노원로 540,37.6614571,127.0593957,18,9
청예음피아노교습소,서울특별시 노원구 덕릉로94가길 20,37.663117,127.0785759,20,4
조은음악교습소,서울특별시 노원구 섬밭로 287,37.6408062,127.0620278,25,5
숙명바이올린교습소,서울특별시 노원구 중계로 198,37.6519314,127.0795434,5,5
그림터치미술교습소,서울특별시 노원구 중계로 164,37.6497313,127.0811529,45,9
롯데음악교습소,서울특별시 노원구 섬밭로 263,37.6387852,127.0624881,23,5
뉴모짜르트음악교습소,서울특별시 노원구 중계로16가길 10,37.6509372,127.0818059,15,5
SYSTEM영어교습소,서울특별시 노원구 한글비석로 254,37.6504079,127.0770904,36,4
소망피아노음악교습소,서울특별시 노원구 노원로 62,37.6277372,127.0869084,104,8
참연세피아노교습소,서울특별시 노원구 월계로55길 3,37.6317292,127.0596864,12,4
엄지음악교습소,서울특별시 노원구 한글비석로 332,37.6571045,127.0779954,3,3
연음음악교습소,서울특별시 노원구 한글비석로 89,37.6393884,127.0715555,15,5
을지피아노교습소,서울특별시 노원구 공릉로63길 13,37.6348629,127.0705387,16,4
현대연세피아노교습소,서울특별시 노원구 노원로314,37.6446072,127.0720589,20,5
청린중국어교습소,서울특별시 노원구 노원로22길 70,37.6468287,127.0728289,20,9
샘소리피아노교습소,서울특별시 노원구 중계로 230,37.652831,127.0759265,25,5
HongPiano음악교습소,서울특별시 노원구 공릉로34길 29,37.623081,127.0805294,15,5
한나음악교습소,서울특별시 노원구 동일로215길 81,37.6502137,127.0568875,35,5
이주영리코더교습소,서울특별시 노원구 중계로 160,37.6494322,127.0813431,10,9
그림마당미술교습소,서울특별시 노원구 노원로 421,37.654261,127.066997,63,7
중원피아노교습소,서울특별시 노원구 동일로 1279,37.642026,127.0641086,20,5
더클라비어음악교습소,서울특별시 노원구 섬밭로 209,37.6354449,127.0642439,15,5
이화향기음악교습소,서울특별시 노원구 공릉로34길 62,37.6234994,127.0831875,21,4
아티즘음악교습소,서울특별시 노원구 동일로 1554,37.6671866,127.0575159,28,4
푸른꿈미술교습소,서울특별시 노원구 덕릉로118길 29,37.667829,127.0816184,45,9
새봄음악교습소,서울특별시 노원구 동일로 1473,37.6597796,127.0575276,20,5
햇님피아노교습소,서울특별시 노원구 화랑로 556,37.6210784,127.0885654,35,5
채움영어교습소,서울특별시 노원구 한글비석로 253,37.6504239,127.0763502,2,2
혜윰미술교습소,서울특별시 노원구 한글비석로54길 116,37.6683107,127.0604105,15,6
상상누리온미술교습소,서울특별시 노원구 섬밭로 263,37.6387852,127.0624881,20,8
(주)워너비리더스어학원,서울특별시 노원구 한글비석로 273,37.6521755,127.0771914,48,150
고구마수학학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,30,70
한솔주니어랩영어교습소,서울특별시 노원구 한글비석로54길 116,37.6683107,127.0604105,15,7
리얼모션미술학원,서울특별시 노원구 동일로 1354,37.6495588,127.062273,330,93
강함수학교습소,서울특별시 노원구 한글비석로 253,37.6504239,127.0763502,8,2
한얼국어학원,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,300,73
웅진씽크빅스마트올클래스월계학원,서울특별시 노원구 초안산로5길 12,37.6325534,127.0516543,112,84
가우스수학교습소,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,9,3
오케이에듀학원,서울특별시 노원구 노원로 254,37.6402077,127.0735771,24,91
에듀플렉스에듀코치개별지도상계학원,서울특별시 노원구 수락산로 212,37.6708271,127.0553544,550,105
예원음악교습소,서울특별시 노원구 한글비석로 250,37.6499887,127.0770075,2,5
포레음악교습소,서울특별시 노원구 마들로 111,37.6245902,127.0654159,55,5
칸탄도피아노교습소,서울특별시 노원구 중계로 197,37.6497527,127.0784681,35,5
유리Lab영상영어교습소,서울특별시 노원구 덕릉로71길 30,37.651184,127.0705238,18,6
중계DYB최선어학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,105,634
